time,crst
0.0,0.09180937605821986
2000.0,0.11981326454874644
4000.0,0.13931476406961446
6000.0,0.21936394596128483
8000.0,0.20986881495157098
10000.0,0.14245303566062623
12000.0,0.15877657953590582
14000.0,0.23298108967432435
16000.0,0.18036934804199165
18000.0,0.22808949588964217
20000.0,0.24279881702241216
9990.0,0.3330314369609124
19990.0,0.4327675480745549
29990.0,0.3558661415340104
39990.0,0.4028310032411496
49990.0,0.450326846883716
59990.0,0.39988398473690534
69990.0,0.4025808302022971
79990.0,0.38254677688320876
89990.0,0.3767901175585034
99990.0,0.3817586538892262
109990.0,0.48426133211406286
119990.0,0.5631895061723547
129990.0,0.5083822864174447
139990.0,0.5363904933215369
149990.0,0.4590074039442427
159990.0,0.5389061755172557
169990.0,0.5079185638645711
179990.0,0.5625953029027114
189990.0,0.6213547095474683
199990.0,0.5911011515757565
