"Key","Value"done 
 
 
"[ 1.6368009  1.1078817 -0.9256004] or [-1.3084133  0.5874811  1.664187 ]","[array([ 1.702698 ,  1.0671023, -0.6051996], dtype=float32), 8.542541]"done 
 
 
"[-1.7867851 -0.6168929 -0.5229227] or [ 1.9944108   0.44218224 -0.02582258]","[array([-0.5582042,  1.694098 , -1.5212979], dtype=float32), 80.6394]"done 
 
 
"[-1.4149082 -1.6288029  1.0989997] or [-1.031703    0.63079166 -1.8771964 ]","[array([ 0.7255991, -1.6549106,  1.0216929], dtype=float32), 56.259914]"done 
 
 
"[-0.5597005  -0.61570406  1.9149028 ] or [ 0.31280458  1.1937821  -1.3956065 ]","[array([ 0.8590006,  1.3909031, -1.0159981], dtype=float32), 21.025309]"done 
 
 
"[-0.7815131  0.5627164  2.0295107] or [ 1.4496782 -1.0700818 -0.6112939]","[array([-0.759203 ,  1.5642006,  1.029908 ], dtype=float32), 38.276817]"done 
 
 
"[-1.6745956  0.4003861  1.1472933] or [ 1.679398    0.51238656 -0.8677025 ]","[array([ 1.5369968 , -0.08798999, -1.2010857 ], dtype=float32), 20.65933]"done 
 
 
"[ 0.86599433 -1.7839887  -0.2619797 ] or [-0.5750233  1.904607  -0.4531842]","[array([-0.28189397,  2.044622  , -0.9634293 ], dtype=float32), 14.828753]"done 
 
 
"[ 0.26099488 -0.22569668  1.9668    ] or [-1.6280074 -0.035604  -1.4424   ]","[array([ 0.33509108, -0.9113853 , -1.7226002 ], dtype=float32), 62.72021]"done 
 
 
"[ 1.4426906 -1.0397987  0.8282976] or [-2.1482866   0.08909726  0.3584994 ]","[array([0.07410681, 1.3740993 , 1.6731056 ], dtype=float32), 83.15222]"done 
 
 
"[ 0.33889982  1.5094095  -1.8258104 ] or [1.5317084 0.4584041 1.7038975]","[array([-1.0977851, -0.6713938,  1.725889 ], dtype=float32), 79.09654]"done 
 
 
"[0.38249588 2.414999   0.29579648] or [ 0.5820981 -1.1301928  2.083987 ]","[array([ 0.33780873,  0.9199077 , -1.7722871 ], dtype=float32), 68.51864]"done 
 
 
"[1.8336122  0.21900713 1.3686085 ] or [-1.2548045   1.805311   -0.39169288]","[array([ 0.34219947, -0.68909687, -2.061185  ], dtype=float32), 100.152824]"done 
 
 
"[ 0.33780873  0.9199077  -1.7722871 ] or [-1.1687033 -1.5776101  0.763214 ]","[array([0.38249588, 2.414999  , 0.29579648], dtype=float32), 68.51864]"done 
 
 
"[-0.58300185 -0.9348899   1.6016853 ] or [-0.4844892  0.8289018 -1.8086973]","[array([ 1.3948989 , -0.42480236,  1.9186187 ], dtype=float32), 55.44914]"done 
 
 
"[ 1.6383016 -0.4813952  1.071796 ] or [-0.5172931  1.3750026 -1.5258014]","[array([-0.6970004,  1.6063844, -1.3839002], dtype=float32), 8.0433235]"done 
 
 
"[-0.33150756 -1.5522023   1.8212987 ] or [ 1.4654922   1.0626012  -0.64130604]","[array([-2.0138946 , -1.0730946 , -0.17581284], dtype=float32), 68.64901]"done 
 
 
"[-0.3738866  1.2220051 -1.7895899] or [ 1.6040027  -0.71339595  0.9111797 ]","[array([1.1213944 , 0.06999218, 1.3895926 ], dtype=float32), 31.459225]"done 
 
 
