time,ext
0.0,0.0019487854659040126
2000.0,0.0030739595777016836
4000.0,0.003283291548989602
6000.0,0.00701664672038162
8000.0,0.0071411264568362574
10000.0,0.0036565106789189688
12000.0,0.004557851993260902
14000.0,0.009201932335308676
16000.0,0.005653044506660356
18000.0,0.008452903698344059
20000.0,0.009346833538162961
9990.0,0.019257209630749686
19990.0,0.03460584495742321
29990.0,0.021764926338321687
39990.0,0.027174436290413995
49990.0,0.04008194876187661
59990.0,0.029829076715181202
69990.0,0.025563252878584918
79990.0,0.025378420800843782
89990.0,0.02567490275635032
99990.0,0.026480575024391207
109990.0,0.0502942314092578
119990.0,0.07151074193068511
129990.0,0.05131405836156055
139990.0,0.06949419858944829
149990.0,0.04141269562520382
159990.0,0.06432325670078991
169990.0,0.047919495215556066
179990.0,0.07088008771384036
189990.0,0.12038953462149118
199990.0,0.09081128578592113
